,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
58,281940,Woolfe - The Red Hood Diaries,GRIN,Rebellion,,855,601,0,"200,000 .. 500,000",127,0,131,0,999,999,0,1,"English, French, German, Spanish - Spain, Dutch, Japanese, Russian","Action, Adventure, Indie","{'Action': 66, 'Adventure': 54, 'Indie': 54, 'Female Protagonist': 52, 'Platformer': 49, '3D Platformer': 34, 'Singleplayer': 28, 'Side Scroller': 25, 'Short': 16, 'Steampunk': 13, 'Fantasy': 7, 'RPG': 5}"
59,623940,HIVESWAP: ACT 1,"What Pumpkin Games, Inc.","What Pumpkin Games, Inc.",,3543,269,0,"200,000 .. 500,000",337,0,405,0,799,799,0,2,English,"Adventure, Indie, RPG","{'Adventure': 168, 'Point & Click': 155, 'Great Soundtrack': 140, 'RPG': 130, 'Indie': 126, 'Female Protagonist': 109, 'Memes': 108, 'Aliens': 104, 'Story Rich': 96, 'Cute': 89, '2D': 73, 'Singleplayer': 71, 'Puzzle': 69, 'Exploration': 55, 'Atmospheric': 55, 'Sci-fi': 53, 'Colorful': 48, 'Family Friendly': 42, 'Difficult': 41, 'Psychological Horror': 40}"
60,261760,Lichdom: Battlemage,Xaviant,Xaviant Games,,1621,1237,0,"200,000 .. 500,000",289,0,180,0,999,999,0,6,English,"Action, Indie, RPG","{'Magic': 215, 'RPG': 214, 'Action': 186, 'First-Person': 131, 'Fantasy': 116, 'Indie': 103, 'Singleplayer': 83, 'FPS': 79, 'Adventure': 57, 'Action RPG': 54, 'Early Access': 37, 'Female Protagonist': 29, 'Difficult': 15, 'Atmospheric': 13, 'Open World': 10}"
61,784080,MechWarrior 5: Mercenaries,Piranha Games Inc.,Fireshine Games,,6519,1319,0,"200,000 .. 500,000",3116,569,2570,569,2999,2999,0,2605,"English, French, German, Russian","Action, Simulation","{'Mechs': 399, 'Simulation': 341, 'FPS': 335, 'Action': 332, 'Shooter': 330, 'Co-op': 327, 'Vehicular Combat': 321, 'First-Person': 315, 'Moddable': 312, 'Destruction': 312, '3D': 302, 'Online Co-Op': 283, 'Singleplayer': 282, 'Combat': 271, 'Futuristic': 255, 'Tutorial': 231, 'Economy': 226, 'Management': 223, 'Resource Management': 209, 'PvE': 208}"
62,1029500,中华三国志 the Three Kingdoms of China,中三之家,中三之家,,1071,178,0,"100,000 .. 200,000",0,0,0,0,0,0,0,23,"English, Not supported, Simplified Chinese, Traditional Chinese","Free to Play, Indie, Strategy","{'Free to Play': 78, 'Indie': 66, 'Strategy': 55, 'Historical': 26, 'War': 21, 'Turn-Based': 16, 'Military': 16, 'Tactical': 15, 'Simulation': 14, 'Grand Strategy': 14, 'Turn-Based Tactics': 14, 'Turn-Based Strategy': 13, 'Turn-Based Combat': 13, 'Wargame': 13}"
63,662830,Bombix,Pragmatix Ltd,Pragmatix Ltd,,930,412,0,"200,000 .. 500,000",316,0,87,0,0,0,0,24,"English, Russian, Simplified Chinese","Action, RPG, Strategy","{'Strategy': 72, 'Action': 69, 'RPG': 59, 'Free to Play': 52, 'Multiplayer': 46, 'Turn-Based Combat': 38, 'Co-op': 38, 'Turn-Based': 37, 'Turn-Based Strategy': 36, 'Tactical': 34, 'Online Co-Op': 31, 'Physics': 31, 'PvP': 26, 'Local Multiplayer': 25, 'Platformer': 22, 'Competitive': 20, 'Funny': 18, 'Singleplayer': 18, 'Difficult': 17, 'Class-Based': 16}"
64,258090,99 Spirits,TORaIKI,Fruitbat Factory,,232,159,0,"200,000 .. 500,000",1052,0,1766,0,999,999,0,0,"English, Japanese","Adventure, Indie, RPG","{'RPG': 151, 'Anime': 131, 'Indie': 124, 'Adventure': 117, 'JRPG': 105, 'Female Protagonist': 99, 'Singleplayer': 97, 'Visual Novel': 95, 'Puzzle': 94, 'Fantasy': 90, 'Exploration': 84, 'Turn-Based Strategy': 79, '2D': 74, 'Dark Fantasy': 72, 'Medieval': 65, 'Mythology': 56, 'Turn-Based Combat': 48, 'Quick-Time Events': 40, 'Text-Based': 38, 'Cute': 36}"
65,215670,Home,BancyCo,BancyCo,,1136,559,0,"200,000 .. 500,000",54,0,65,0,499,499,0,1,English,"Adventure, Indie","{'Indie': 115, 'Adventure': 103, 'Horror': 95, 'Pixel Graphics': 87, 'Short': 76, 'Multiple Endings': 70, 'Mystery': 58, 'Atmospheric': 54, 'Interactive Fiction': 51, 'Psychological': 49, 'Singleplayer': 46, 'Walking Simulator': 43, 'Thriller': 40, 'Point & Click': 40, '2D': 32, 'Story Rich': 28, 'Exploration': 26, 'GameMaker': 24, 'Dark': 21, 'Retro': 14}"
66,1106880,Tribes of Midgard - Open Beta,Norsfell,Gearbox Publishing,,433,58,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0,"English, French, Spanish - Spain, Dutch, Portuguese - Portugal, Russian, Ukrainian","Action, Adventure, Indie","{'Adventure': 62, 'Action': 58, 'Indie': 56, 'Survival': 36, 'Crafting': 31, 'Open World': 26, 'Tower Defense': 21, 'Multiplayer': 17, 'Free to Play': 15, 'RPG': 15, 'Co-op': 15, 'Action RPG': 14, 'Procedural Generation': 14, 'Party-Based RPG': 14}"
67,626610,TT Isle of Man: Ride on the Edge,KT Racing,Nacon,,877,347,0,"200,000 .. 500,000",519,0,930,0,399,1999,80,11,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean, Polish, Portuguese - Brazil, Russian","Action, Racing, Simulation, Sports","{'Racing': 141, 'Action': 140, 'First-Person': 135, 'Driving': 132, 'Multiplayer': 129, 'Singleplayer': 126, 'Sports': 119, 'Simulation': 116, 'Automobile Sim': 104, 'Realistic': 98, 'Third Person': 93, 'Atmospheric': 91, 'Physics': 87, 'Motorbike': 81, 'Controller': 74, 'Bikes': 69, 'Exploration': 44, 'Management': 34, 'Remake': 28}"
